Ciudad / Municipio;Latitud;Longitud;TOTAL BRP;TOTAL RETIRADOS
ACACIAS;3.987;-73.758;5;1
AGUACHICA;8.306;-73.611;8;3
AGUAZUL;5.174;-72.547;1;
AGUSTIN CODAZZI;10.033;-73.233;4;2
ANDALUCIA;4.173;-76.166;1;
ARAUCA;7.085;-70.759;1;
ARMENIA;4.534;-75.676;4;1
BARBOSA (Santander);5.933;-73.617;2;
BARRANCABERMEJA;7.065;-73.855;6;5
BARRANQUILLA;10.968;-74.781;31;9
BELLO;6.337;-75.558;3;3
BOGOTA;4.711;-74.072;192;90
BOJACA;4.730;-74.346;1;
BUCARAMANGA;7.125;-73.120;10;7
BUENAVENTURA;3.880;-77.031;1;
CAJICA;4.919;-74.028;12;2
CALARCA;4.530;-75.641;1;1
CALI;3.451;-76.532;17;4
CARMEN DE APICALA;4.148;-74.721;1;
CARTAGENA;10.391;-75.479;54;9
CARTAGO;4.746;-75.912;1;1
CHAPARRAL;3.723;-75.483;2;1
CHIA;4.861;-74.058;5;2
CHINCHINA;4.981;-75.604;1;1
CIUDAD BOLIVAR;5.852;-76.022;1;1
COTA;4.809;-74.103;4;1
CÚCUTA;7.893;-72.507;4;3
DOSQUEBRADAS;4.836;-75.684;1;
DUITAMA;5.826;-73.033;2;2
EL COLEGIO;4.588;-74.444;1;1
ENVIGADO;6.175;-75.591;2;1
ESPINAL;4.149;-74.931;1;1
FACATATIVA;4.814;-74.353;3;
FLANDES;4.288;-74.814;12;3
FLORENCIA;1.614;-75.606;1;1
FLORIDABLANCA;7.062;-73.086;1;
FUNDACION;10.518;-74.186;30;
FUNZA;4.716;-74.211;6;3
FUSAGASUGA;4.336;-74.363;12;2
GIRARDOT;4.305;-74.803;17;7
GIRON;7.073;-73.168;2;1
GRANADA (Meta);3.546;-73.706;7;2
GUADALAJARA DE BUGA;3.900;-76.297;2;1
HONDA;5.204;-74.741;1;
IBAGUE;4.438;-75.232;16;8
IPIALES;0.823;-77.632;1;
JAMUNDI;3.262;-76.535;5;2
LA DORADA;5.454;-74.664;1;
LA ESTRELLA;6.158;-75.643;1;1
LA MESA;4.632;-74.463;7;5
LOS PATIOS;7.859;-72.504;2;2
MADRID;4.732;-74.264;5;1
MANIZALES;5.068;-75.517;4;2
MARIQUITA;5.201;-74.893;2;1
MEDELLIN;6.244;-75.581;3;2
MELGAR;4.204;-74.642;5;1
MOGOTES;6.476;-72.969;1;
MONTELIBANO;7.979;-75.418;1;
MONTERIA;8.747;-75.881;3;
MOSQUERA;4.706;-74.230;8;3
NEIVA;2.927;-75.281;10;5
NILO;4.303;-74.620;12;4
OCAÑA;8.234;-73.354;2;2
OIBA;6.267;-73.300;3;
PALMIRA;3.539;-76.303;2;
PASTO;1.213;-77.281;1;
PELAYA;8.411;-73.666;1;
PEREIRA;4.813;-75.694;14;10
PIEDECUESTA;7.006;-73.049;1;
POPAYAN;2.441;-76.606;2;
PUERTO BOYACA;5.975;-74.588;3;1
PUERTO COLOMBIA;11.011;-74.887;6;
RESTREPO (Meta);4.253;-73.565;2;1
RICAURTE (Cundinamarca);4.281;-74.767;6;
RIONEGRO (Antioquia);6.155;-75.373;17;5
SABANETA;6.151;-75.615;16;
SAN ALBERTO;7.761;-73.392;1;
SAN CAYETANO;7.879;-72.632;3;2
SAN GIL;6.555;-73.133;2;2
SAN VICENTE;6.883;-73.411;2;
SANTA MARTA;11.240;-74.199;9;2
SARAVENA;6.953;-71.875;1;
SINCELEJO;9.304;-75.397;4;2
SOACHA;4.578;-74.212;11;4
SOCORRO;6.471;-73.262;7;1
SOGAMOSO;5.714;-72.933;1;
SOLEDAD;10.917;-74.764;2;1
SUBACHOQUE;4.927;-74.175;1;
TAME;6.458;-71.728;2;
TENA;4.661;-74.385;1;
TENJO;4.872;-74.145;3;3
TOCANCIPA;4.965;-73.911;4;3
TUNJA;5.535;-73.367;3;1
TURBACO;10.334;-75.441;3;1
VALLEDUPAR;10.463;-73.253;41;23
VILLA DEL ROSARIO;7.834;-72.474;2;2
VILLAMARIA;5.045;-75.514;1;
VILLAVICENCIO;4.142;-73.626;21;9
YARUMAL;6.961;-75.417;1;
YOPAL;5.337;-72.395;5;2
ZIPAQUIRA;5.023;-74.003;4;2
