ID_Estacion,estacion,nombre,rio,fechacreac,fechaactua,coordx,coordy,DBO,Riesgo_DBO
1,QCH - E1,LA ORQUIDEA,QUEBRADA CHUNIZA,15/10/2016,29/12/2017,-74.107872,4.495797,14,MEDIO
2,QCH - E2,CANTARRANA,QUEBRADA CHUNIZA,15/10/2016,29/12/2017,-74.120961,4.497386,33,ALTO
3,QYO - E1,ARRAYANAL,QUEBRADA YOMASA,15/10/2016,29/12/2017,-74.098278,4.499431,40,ALTO
4,QYO - E2,BOLONIA,QUEBRADA YOMASA,15/10/2016,29/12/2017,-74.109083,4.506181,36,ALTO
5,QYO - E3,MONTE BLANCO,QUEBRADA YOMASA,15/10/2016,29/12/2017,-74.124367,4.504222,37,ALTO
6,QSL - E1,ALFONSO LOPEZ,QUEBRADA SANTA LIBRADA,15/10/2016,29/12/2017,-74.107236,4.51195,25,ALTO
7,QSL - E2,BARRANQUILLITA,QUEBRADA SANTA LIBRADA,15/10/2016,29/12/2017,-74.116156,4.521417,18,MEDIO
8,QSL - E3,PORTAL USME,QUEBRADA SANTA LIBRADA,15/10/2016,29/12/2017,-74.123681,4.534911,27,ALTO
9,QTR - E1,MOCHUELO BAJO,QUEBRADA TROMPETA,15/10/2016,29/12/2017,-74.141072,4.534239,5,BAJO
10,QTR - E2,QUIBA,QUEBRADA TROMPETA,15/10/2016,29/12/2017,-74.139522,4.536392,10,MEDIO
11,QTR - E3,ACAPULCO,QUEBRADA TROMPETA,15/10/2016,29/12/2017,-74.134319,4.540333,21,ALTO
12,QZA - E1,QUINDIO,QUEBRADA CHIGUAZA,15/10/2016,29/12/2017,-74.0865,4.540336,11,MEDIO
13,QZA - E2,ENTRE NUBES,QUEBRADA CHIGUAZA,15/10/2016,29/12/2017,-74.100961,4.548589,13,MEDIO
14,QZA - E3,MOLINOS,QUEBRADA CHIGUAZA,15/10/2016,29/12/2017,-74.112903,4.550428,24,ALTO
15,QZA - E4,MEISSEN,QUEBRADA CHIGUAZA,15/10/2016,29/12/2017,-74.132692,4.559942,26,ALTO
16,QLI - E1,BELLA FLOR,QUEBRADA LIMAS,15/10/2016,29/12/2017,-74.158411,4.545406,17,MEDIO
17,QLI - E2,VILLA DEL DIAMANTE,QUEBRADA LIMAS,15/10/2016,29/12/2017,-74.152822,4.5547,8,BAJO
18,QLI - E3,SAN FRANCISCO,QUEBRADA LIMAS,15/10/2016,29/12/2017,-74.150242,4.559261,39,ALTO
19,QLI - E4,EL SATELITE,QUEBRADA LIMAS,15/10/2016,29/12/2017,-74.147892,4.56935,7,BAJO
20,CMO - E3,PEPE SIERRA,CANAL MOLINOS,15/10/2016,29/12/2017,-74.054164,4.696853,6,BAJO
21,CMO - E4,ALHAMBRA,CANAL MOLINOS,15/10/2016,29/12/2017,-74.062456,4.697564,22,ALTO
22,CON - E1,BELLA SUIZA,CANAL CONTADOR,15/10/2016,29/12/2017,-74.035969,4.713764,32,ALTO
23,CON - E2,COUNTRY,CANAL CONTADOR,15/10/2016,29/12/2017,-74.045717,4.717189,5,BAJO
24,CON - E3,CALLEJAS,CANAL CONTADOR,15/10/2016,29/12/2017,-74.048711,4.705933,15,MEDIO
25,CON - E4,CAMINO DEL CONTADOR,CANAL CONTADOR,15/10/2016,29/12/2017,-74.060075,4.707733,7,BAJO
26,COR - E1,BRITALIA,CANAL CORDOBA,15/10/2016,29/12/2017,-74.053169,4.751767,21,ALTO
27,COR - E2,VICTORIA NORTE,CANAL CORDOBA,15/10/2016,29/12/2017,-74.056394,4.729039,12,MEDIO
28,COR - E3,PRADO VERANIEGO,CANAL CORDOBA,15/10/2016,29/12/2017,-74.061872,4.716864,11,MEDIO
29,COR - E4,HUMEDAL CORDOBA,CANAL CORDOBA,15/10/2016,29/12/2017,-74.070508,4.702067,26,ALTO
30,CRN - E1,QUEBRADA CHICO,RIO NEGRO,15/10/2016,29/12/2017,-74.045494,4.668814,10,MEDIO
31,CRN - E2,EL VIRREY,RIO NEGRO,15/10/2016,29/12/2017,-74.057875,4.674794,32,ALTO
32,CRN - E3,LA CASTELLANA,RIO NEGRO,15/10/2016,29/12/2017,-74.061411,4.678161,16,MEDIO
33,CRN - E4,ENTRE RIOS,RIO NEGRO,15/10/2016,29/12/2017,-74.070972,4.683217,12,MEDIO
34,HCO - E2,LOS LAGARTOS,HUMEDAL CORDOBA,15/10/2016,29/12/2017,-74.0875,4.705736,39,ALTO
35,CMO - E2,SANTA  ANA,CANAL MOLINOS,15/10/2016,29/12/2017,-74.040583333,4.69347222200003,25,ALTO
36,CMO - E1,CANTON NORTE,CANAL MOLINOS,15/10/2016,29/12/2017,-74.031055556,4.68425,25,ALTO
37,FU-ELDELI,EL DELIRIO,FUCHA,15/10/2016,29/12/2017,-74.0602775,4.55591745800007,12,MEDIO
38,FU-KR7,CARRERA 7,FUCHA,15/10/2016,29/12/2017,-74.088877778,4.57778950000005,15,MEDIO
39,FU-AVFERR,AV FERROCARRIL,FUCHA,15/10/2016,29/12/2017,-74.122414694,4.61242283300004,8,BAJO
40,FU-AVAMER,AV LAS AMÉRICAS,FUCHA,15/10/2016,29/12/2017,-74.1259830559999,4.63005416700003,8,BAJO
41,FU-AVBOY,Av BOYACÁ,FUCHA,15/10/2016,29/12/2017,-74.127919167,4.64717252800006,10,MEDIO
42,FU-VC,VISIÓN COLOMBIA,FUCHA,15/10/2016,29/12/2017,-74.133796111,4.65259547200003,26,ALTO
43,FU-ZFRANCA,ZONA FRANCA,FUCHA,15/10/2016,29/12/2017,-74.144665833,4.66177375000007,28,ALTO
44,FU-ALAMEDA,FUCHA ALAMEDA,FUCHA,15/10/2016,29/12/2017,-74.153368333,4.66413263900006,34,ALTO
45,RIO- PUEN,PUENTE EL COMÚN,RIO BOGOTA,15/10/2016,29/12/2017,-74.0291,4.86409444400005,38,ALTO
46,SA-PNAC,PARQUE NACIONAL,SALITRE,15/10/2016,29/12/2017,-74.055888889,4.62344444400003,35,ALTO
47,SA-ARZKR7,ARZOBISPO  KR 7,SALITRE,15/10/2016,29/12/2017,-74.066016667,4.62595,40,ALTO
48,SA-NQSCL53,NQS CALLE 53,SALITRE,15/10/2016,29/12/2017,-74.077998458,4.63875263600005,19,MEDIO
49,SA-AV68,CARREFOUR  AV 68,SALITRE,15/10/2016,29/12/2017,-74.080269444,4.68936666700006,35,ALTO
50,SA-TV 91,TRANSVERSAL 91,SALITRE,15/10/2016,29/12/2017,-74.095266667,4.71630555600007,39,ALTO
51,SA-ALAMEDA,SALITRE CON ALAMEDA,SALITRE,15/10/2016,29/12/2017,-74.1247924859999,4.74010703900007,5,BAJO
52,TR-BPINOS,BOSQUE DE PINOS,TORCA,15/10/2016,29/12/2017,-74.021438636,4.72348937800007,16,MEDIO
53,TR-CL161,CALLE 161,TORCA,15/10/2016,29/12/2017,-74.037255433,4.73995255300002,38,ALTO
54,TR-JARPAZ,JARDINES DE PAZ,TORCA,15/10/2016,29/12/2017,-74.041350461,4.77883679200005,8,BAJO
55,TR-SANSIM,SAN SIMÓN,TORCA,15/10/2016,29/12/2017,-74.040194736,4.80974842200004,32,ALTO
56,TU-LAREG,LA REGADERA,TUNJUELO,15/10/2016,29/12/2017,-74.144236722,4.40592183300004,19,MEDIO
57,TU-UAN,UNIVERSIDAD ANTONIO NARIÑO,TUNJUELO,15/10/2016,29/12/2017,-74.12168475,4.48307444400007,16,MEDIO
58,TU-YOMASA,YOMASA,TUNJUELO,15/10/2016,29/12/2017,-74.127094444,4.50306422200004,34,ALTO
